RX Date/Time,Left Hip Yaw(field 1),Left Hip Roll(field 2),Left Hip Pitch(field 3),Left Knee Pitch(field 4),Left Ankle Pitch(field 5),Right Hip Yaw(field 6),Right Hip Roll(field 7),Right Hip Pitch(field 8),Right Knee Pitch(field 9),Right Ankle Pitch(field 10)
2025/04/01/ 21:40:25::313,0.046232,3.167249,0.471463,1.352464,-2.109666,-0.091474,-1.537576,0.208899,0.117623,-0.133915
2025/04/01/ 21:40:25::343,0.242634,2.128773,0.318791,0.961799,-2.120188,0.052861,-1.292283,0.126284,0.451628,-0.381606
2025/04/01/ 21:40:25::390,0.177907,1.46508,0.353312,0.652782,-1.983022,0.307383,-1.10991,-0.069385,0.669031,-0.752988
2025/04/01/ 21:40:25::403,0.139835,1.233825,0.562752,0.147904,-1.706517,0.185944,-1.333772,-0.088364,0.441591,-1.19526
2025/04/01/ 21:40:25::437,0.11157,1.031992,0.412792,0.014415,-1.334786,0.167323,-1.771553,-0.26389,0.582143,-1.534348
2025/04/01/ 21:40:25::463,0.057623,1.020768,0.366701,-0.161766,-0.975321,0.368693,-2.612108,-0.133069,0.770435,-1.764635
2025/04/01/ 21:40:25::502,-0.044581,1.050142,0.459827,-0.219801,-0.678917,0.245052,-3.312465,0.128968,0.864186,-1.95796
2025/04/01/ 21:40:25::523,-0.078884,1.196193,0.475702,0.020313,-0.401478,0.133259,-3.78774,0.2886,1.218289,-2.092965
2025/04/01/ 21:40:25::561,-0.122474,1.37694,0.594752,0.07288,-0.136215,0.164166,-3.976366,0.403235,1.330948,-2.189999
2025/04/01/ 21:40:25::583,-0.156579,1.397104,0.700946,0.063539,-0.012178,0.147949,-3.820992,0.401639,1.211604,-2.255109
2025/04/01/ 21:40:25::614,-0.228588,1.343131,0.630921,0.293442,0.046747,0.188968,-3.33804,0.104111,1.145686,-2.244418
2025/04/01/ 21:40:25::644,-0.173097,1.063692,0.703906,0.598562,-0.164195,0.188648,-2.656173,-0.155526,0.785219,-2.203731
2025/04/01/ 21:40:25::673,-0.252274,0.684758,0.763815,0.840417,-0.372721,0.142272,-1.867206,-0.15288,0.583906,-2.073894
2025/04/01/ 21:40:25::714,-0.312097,0.532029,0.700388,0.99678,-0.726592,0.043597,-1.356815,-0.335826,0.272811,-1.941057
2025/04/01/ 21:40:25::733,-0.323353,0.930505,0.668135,0.921285,-1.008714,-0.159408,-1.0814,-0.321724,0.0727,-1.768752
2025/04/01/ 21:40:25::762,-0.383026,1.714476,0.802714,0.986931,-1.152648,-0.149597,-0.929302,-0.176313,-0.491635,-1.425443
2025/04/01/ 21:40:25::793,-0.278587,2.540282,0.834598,1.381071,-1.214752,-0.129571,-0.856602,-0.354489,-0.782667,-0.99907
2025/04/01/ 21:40:25::833,-0.157154,3.156782,0.701445,1.444212,-1.401329,-0.232654,-1.073046,-0.45861,-1.094995,-0.580031
2025/04/01/ 21:40:25::853,-0.060283,3.713774,0.691791,1.582253,-1.553313,-0.19271,-1.26415,-0.631678,-0.723652,-0.293528
2025/04/01/ 21:40:25::889,-0.092871,4.12644,0.764526,1.750104,-1.71555,-0.205446,-1.320881,-0.138458,-0.778505,-0.054998
2025/04/01/ 21:40:25::918,0.068771,3.311459,0.690748,1.698334,-1.929098,-0.12405,-1.262196,0.007978,0.227099,-0.302599
2025/04/01/ 21:40:25::949,0.109771,2.672669,0.54834,1.514875,-2.07399,-0.086962,-1.20631,0.298454,-0.026312,-0.313685
2025/04/01/ 21:40:25::973,0.152033,1.841722,0.481786,1.168717,-2.11833,0.085708,-0.901528,0.070096,0.419796,-0.591026
2025/04/01/ 21:40:26::003,0.248774,1.385366,0.492531,0.562352,-1.947043,0.22506,-0.84939,-0.355153,0.708824,-0.913065
2025/04/01/ 21:40:26::035,0.086718,1.084418,0.44784,0.332505,-1.748233,0.104737,-1.064412,-0.087239,0.199447,-1.265915
2025/04/01/ 21:40:26::063,0.071173,1.011969,0.548451,-0.055296,-1.344937,0.216153,-1.536775,-0.352041,0.371099,-1.596555
2025/04/01/ 21:40:26::093,0.067384,1.02458,0.423241,0.060929,-1.114822,0.28982,-2.154949,-0.324087,0.553191,-1.7157
2025/04/01/ 21:40:26::124,-0.103881,1.004703,0.687211,-0.055212,-0.846733,0.255642,-2.790624,-0.070046,0.86425,-1.964814
2025/04/01/ 21:40:26::153,-0.102479,1.160244,0.86174,0.091642,-0.57074,0.112545,-3.359309,0.198761,0.982229,-2.106457
2025/04/01/ 21:40:26::187,-0.124985,1.197867,0.877218,0.35314,-0.291749,0.152647,-3.666533,0.317864,1.080124,-2.214654
2025/04/01/ 21:40:26::214,-0.171043,1.284466,0.879184,0.268707,-0.120619,0.104949,-3.572304,0.113898,1.15011,-2.28494
